_join_year,player_name_clean_nfl,school_clean_nfl,position_nfl,pfr_player_id,gsis_id,player_id,player_name_clean_jack,school_clean_jack,position_jack,name_norm
1980,Billy Sims,Oklahoma,RB,SimsBi00,SIM659150,17667,Billy Sims,Oklahoma,Running Back,billy sims
1980,Anthony Munoz,USC,T,MunoAn00,00-0011825,17669,Anthony Munoz,USC,Offensive Tackle,anthony munoz
1980,Bruce Clark,Penn St.,DE,ClarBr23,CLA212454,17670,Bruce Clark,Penn State,Defensive Tackle,bruce clark
1980,Curtis Dickey,Texas A&M,RB,DickCu00,DIC442976,17671,Curtis Dickey,Texas A&M,Running Back,curtis dickey
1980,Curtis Greer,Michigan,DE,GreeCu21,GRE649128,17672,Curtis Greer,Michigan,Defensive End,curtis greer
1980,Junior Miller,Nebraska,TE,MillJu00,MIL550941,17673,Junior Miller,Nebraska,Tight End,junior miller
1980,Mark Haynes,Colorado,DB,HaynMa00,HAY652575,17674,Mark Haynes,Colorado,Defensive Back,mark haynes
1980,Doug Martin,Washington,DE,MartDo21,MAR582118,17675,Doug Martin,Washington,Defensive End,doug martin
1980,Jacob Green,Texas A&M,DE,GreeJa01,00-0006330,17676,Jacob Green,Texas A&M,Defensive End,jacob green
1980,Brad Budde,USC,G,BuddBr20,BUD369148,17677,Brad Budde,USC,,brad budde
1980,Stan Brock,Colorado,T,BrocSt20,00-0001803,17678,Stan Brock,Colorado,Offensive Tackle,stan brock
1980,Earl Cooper,Rice,RB,CoopEa00,COO647710,17679,Earl Cooper,Rice,Running Back,earl cooper
1980,Roland James,Tennessee,DB,JameRo20,JAM531568,17680,Roland James,Tennessee,Defensive Back,roland james
1980,Marc Wilson,BYU,QB,WilsMa00,WIL749592,17681,Marc Wilson,BYU,Quarterback,marc wilson
1980,Jim Ritcher,North Carolina St.,G,RitcJi00,00-0013771,17682,Jim Ritcher,North Carolina State,,jim ritcher
1980,Johnnie Johnson,Texas,DB,JohnJo23,JOH383703,17683,Johnnie Johnson,Texas,Defensive Back,johnnie johnson
1980,Art Monk,Syracuse,WR,MonkAr00,00-0011483,17684,Art Monk,Syracuse,Wide Receiver,art monk
1980,Otis Wilson,Louisville,LB,WilsOt00,WIL772209,17685,Otis Wilson,Louisville,Linebacker,otis wilson
1980,Jim Stuckey,Clemson,DE,StucJi20,STU197755,17686,Jim Stuckey,Clemson,Defensive End,jim stuckey
1980,Don McNeal,Alabama,DB,McNeDo20,MCN311463,17687,Don McNeal,Alabama,Defensive Back,don mcneal
1980,Ray Snell,Wisconsin,G,SnelRa20,SNE622932,17688,Ray Snell,Wisconsin,Offensive Guard,ray snell
1980,Roynell Young,Alcorn St.,DB,YounRo00,YOU553698,17689,Roynell Young,Alcorn State,Defensive Back,roynell young
1980,Derrick Hatchett,Texas,DB,HatcDe20,HAT311466,17690,Derrick Hatchett,Texas,Defensive Back,derrick hatchett
1980,Vagas Ferguson,Notre Dame,RB,FergVa00,FER369144,17691,Vagas Ferguson,Notre Dame,Running Back,vagas ferguson
1980,George Cumby,Oklahoma,LB,CumbGe20,CUM166116,17692,George Cumby,Oklahoma,Linebacker,george cumby
1980,Charles White,USC,RB,WhitCh00,WHI130648,17693,Charles White,USC,Running Back,charles white
1980,Mark Malone,Arizona St.,QB,MaloMa00,MAL711918,17694,Mark Malone,Arizona State,Quarterback,mark malone
1980,Joe Cribbs,Auburn,RB,CribJo00,CRI110744,17695,Joe Cribbs,Auburn,Running Back,joe cribbs
1980,Willie Teal,LSU,DB,TealWi20,TEA622932,17696,Willie Teal,LSU,Defensive Back,willie teal
1980,Kirby Criswell,Kansas,LB,CrisKi20,CRI498348,17697,Kirby Criswell,Kansas,Linebacker,kirby criswell
1980,Ray Donaldson,Georgia,C,DonaRa00,00-0004414,17698,Ray Donaldson,Georgia,,ray donaldson
1980,Doug Marsh,Michigan,TE,MarsDo00,MAR347851,17699,Doug Marsh,Michigan,Tight End,doug marsh
1980,Mark Lee,Washington,DB,LeexMa20,00-0009767,17700,Mark Lee,Washington,Defensive Back,mark lee
1980,Bob Kohrs,Arizona St.,DE,KohrBo20,KOH553722,17701,Bob Kohrs,Arizona State,Linebacker,bob kohrs
1980,Buddy Curry,North Carolina,LB,CurrBu20,CUR468526,17702,Buddy Curry,North Carolina,Linebacker,buddy curry
1980,Gene Bradley,Arkansas St.,QB,,,17703,Gene Bradley,Arkansas State,Quarterback,gene bradley
1980,Angelo Fields,Michigan St.,T,FielAn21,FIE383346,17704,Angelo Fields,Michigan State,Offensive Tackle,angelo fields
1980,Keena Turner,Purdue,LB,TurnKe01,TUR541680,17705,Keena Turner,Purdue,Linebacker,keena turner
1980,Darrol Ray,Oklahoma,DB,RayxDa20,RAY166116,17706,Darrol Ray,Oklahoma,Defensive Back,darrol ray
1980,Dave Waymer,Notre Dame,DB,WaymDa00,00-0017339,17707,Dave Waymer,Notre Dame,Defensive Back,dave waymer
1980,Rulon Jones,Utah St.,DE,JoneRu00,JON710908,17708,Rulon Jones,Utah State,Defensive End,rulon jones
1980,Matt Millen,Penn St.,LB,MillMa01,00-0011231,17709,Matt Millen,Penn State,Linebacker,matt millen
1980,Andre Hines,Stanford,T,HineAn20,HIN131142,17710,Andre Hines,Stanford,Offensive Tackle,andre hines
1980,Larry McGrew,USC,LB,McGrLa20,MCG702768,17711,Larry McGrew,USC,Linebacker,larry mcgrew
1980,Matt Suhey,Penn St.,RB,SuheMa00,SUH276861,17712,Matt Suhey,Penn State,Running Back,matt suhey
1980,Ralph Clayton,Michigan,WR,ClayRa22,CLA811188,17713,Ralph Clayton,Michigan,Wide Receiver,ralph clayton
1980,Dwight Stephenson,Alabama,C,StepDw00,STE481338,17714,Dwight Stephenson,Alabama,,dwight stephenson
1980,Kevin House,Southern Illinois,WR,HousKe00,HOU259555,17715,Kevin House,Southern Illinois,Wide Receiver,kevin house
1980,Irv Pankey,Penn St.,T,PankIr20,,17716,Irv Pankey,Penn State,Offensive Tackle,irv pankey
1980,Tim Foley,Notre Dame,T,FoleTi20,FOL319455,17717,Tim Foley,Notre Dame,Offensive Tackle,tim foley
1980,Daryle Skaugstad,California,NT,SkauDa20,SKA622935,17718,Daryle Skaugstad,California,Defensive Tackle,daryle skaugstad
1980,Perry Harrington,Jackson St.,RB,HarrPe00,HAR331331,17719,Perry Harrington,Jackson State,Running Back,perry harrington
1980,Cleveland Crosby,Arizona,DE,CrosCl20,CRO358000,17720,Cleveland Crosby,Arizona,Defensive End,cleveland crosby
1980,Mat Mendenhall,BYU,DE,MendMa20,MEN332232,17721,Mat Mendenhall,BYU,Defensive End,mat mendenhall
1980,John Goodman,Oklahoma,DE,GoodJo21,GOO438349,17722,John Goodman,Oklahoma,Defensive End,john goodman
1980,Tom Turnure,Washington,C,TurnTo20,TUR776408,17723,Tom Turnure,Washington,,tom turnure
1980,Jewerl Thomas,San Jose St.,RB,ThomJe01,THO230356,17724,Jewerl Thomas,San Jose State,Running Back,jewerl thomas
1980,Rod Horn,Nebraska,NT,HornRo20,HOR237304,17725,Rod Horn,Nebraska,Defensive Tackle,rod horn
1980,John Sinnott,Brown,T,SinnJo20,SIN778665,17726,John Sinnott,Brown,Offensive Tackle,john sinnott
1980,Syd Kitson,Wake Forest,G,KitsSy20,KIT207645,17727,Syd Kitson,Wake Forest,Offensive Guard,syd kitson
